shot_id,combined_shot_type,period,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,home_away,time_sec_remaining
25,Jump Shot,3,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 UTA,1,311
26,Layup,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 UTA,1,156
27,Jump Shot,3,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 UTA,1,124
28,Jump Shot,3,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 UTA,1,30
29,Jump Shot,4,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 UTA,1,499
30,Jump Shot,4,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 UTA,1,382
31,Jump Shot,4,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 UTA,1,80
32,Jump Shot,4,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 UTA,1,30
39,Jump Shot,2,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 VAN,0,210
40,Jump Shot,2,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 VAN,0,4
41,Jump Shot,3,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 VAN,0,672
42,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,613
43,Jump Shot,3,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 VAN,0,539
44,Jump Shot,3,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 VAN,0,509
46,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,201
47,Dunk,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,175
48,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,158
49,Jump Shot,4,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 VAN,0,295
51,Layup,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,68
52,Layup,4,1,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 VAN,0,66
53,Jump Shot,1,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 LAC,1,633
54,Jump Shot,1,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 LAC,1,604
56,Jump Shot,1,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 LAC,1,153
57,Jump Shot,2,22,1.0,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 LAC,1,686
58,Layup,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 LAC,1,520
59,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 LAC,1,245
61,Jump Shot,2,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 LAC,1,122
62,Layup,2,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 LAC,1,47
63,Layup,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 LAC,1,572
64,Layup,3,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 LAC,1,37
65,Jump Shot,3,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 LAC,1,1
68,Jump Shot,1,23,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2000-01 HOU,0,497
69,Layup,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,0,473
70,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,0,421
72,Jump Shot,1,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 HOU,0,191
73,Layup,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,0,476
74,Jump Shot,2,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 HOU,0,160
75,Jump Shot,2,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 HOU,0,10
76,Jump Shot,3,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 HOU,0,662
77,Jump Shot,3,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 HOU,0,550
78,Jump Shot,3,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 HOU,0,444
79,Jump Shot,3,8,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-01 HOU,0,1
81,Jump Shot,4,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 HOU,0,301
82,Jump Shot,4,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-01 HOU,0,46
83,Jump Shot,1,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 SAS,0,701
84,Dunk,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 SAS,0,659
87,Jump Shot,1,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 SAS,0,396
88,Jump Shot,1,19,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 SAS,0,354
89,Jump Shot,1,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,144
90,Jump Shot,1,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,108
91,Jump Shot,1,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-01 SAS,0,85
92,Jump Shot,1,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 SAS,0,47
93,Jump Shot,2,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,657
94,Jump Shot,2,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,577
96,Jump Shot,2,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 SAS,0,230
97,Jump Shot,2,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 SAS,0,195
98,Jump Shot,2,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 SAS,0,53
99,Jump Shot,2,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,48
100,Jump Shot,3,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 SAS,0,686
101,Jump Shot,3,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-01 SAS,0,560
102,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 SAS,0,473
103,Jump Shot,3,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 SAS,0,400
105,Jump Shot,3,12,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 SAS,0,180
106,Jump Shot,3,19,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 SAS,0,48
107,Jump Shot,3,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 SAS,0,21
108,Jump Shot,4,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 SAS,0,639
109,Jump Shot,4,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 SAS,0,428
110,Jump Shot,4,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 SAS,0,385
111,Jump Shot,4,9,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-01 SAS,0,314
112,Jump Shot,4,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 SAS,0,218
114,Jump Shot,1,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 HOU,1,669
115,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,617
116,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,563
117,Tip Shot,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,561
118,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,182
119,Layup,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,44
120,Jump Shot,1,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 HOU,1,21
121,Jump Shot,2,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 HOU,1,530
122,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,498
124,Hook Shot,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,30
125,Jump Shot,2,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 HOU,1,4
127,Jump Shot,3,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 HOU,1,518
128,Jump Shot,3,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 HOU,1,318
129,Jump Shot,3,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 HOU,1,274
130,Jump Shot,3,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 HOU,1,231
131,Jump Shot,3,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 HOU,1,220
132,Jump Shot,3,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 HOU,1,213
134,Jump Shot,3,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 HOU,1,125
135,Jump Shot,3,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 HOU,1,14
136,Jump Shot,4,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 HOU,1,652
137,Jump Shot,4,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 HOU,1,394
138,Jump Shot,4,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 HOU,1,297
139,Dunk,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,208
140,Jump Shot,4,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 HOU,1,98
142,Tip Shot,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 HOU,1,63
143,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,463
145,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,188
146,Jump Shot,1,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2000-01 DEN,1,145
147,Jump Shot,1,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 DEN,1,48
148,Jump Shot,2,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 DEN,1,676
149,Jump Shot,2,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 DEN,1,619
151,Jump Shot,2,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 DEN,1,547
154,Layup,2,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,114
155,Layup,2,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,28
157,Jump Shot,3,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 DEN,1,623
158,Jump Shot,3,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 DEN,1,323
160,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,37
161,Jump Shot,4,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 DEN,1,703
162,Layup,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,628
163,Dunk,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,611
164,Layup,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,1,337
166,Jump Shot,1,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 SAC,0,702
167,Jump Shot,1,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 SAC,0,667
168,Jump Shot,1,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 SAC,0,533
169,Jump Shot,1,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 SAC,0,496
170,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 SAC,0,463
171,Jump Shot,1,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 SAC,0,167
173,Jump Shot,1,20,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 SAC,0,65
174,Jump Shot,2,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 SAC,0,493
175,Jump Shot,2,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 SAC,0,387
176,Jump Shot,2,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 SAC,0,52
177,Jump Shot,2,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 SAC,0,19
178,Jump Shot,2,47,0.0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,2000-01 SAC,0,0
179,Jump Shot,3,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 SAC,0,532
180,Jump Shot,3,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 SAC,0,175
181,Jump Shot,3,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 SAC,0,1
183,Jump Shot,4,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 SAC,0,558
184,Jump Shot,4,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 SAC,0,343
185,Jump Shot,4,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 SAC,0,2
186,Jump Shot,5,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 SAC,0,125
187,Jump Shot,5,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 SAC,0,127
188,Jump Shot,5,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 SAC,0,24
189,Jump Shot,1,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 DEN,0,605
190,Jump Shot,1,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 DEN,0,547
191,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,0,495
194,Jump Shot,1,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 DEN,0,262
195,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,0,249
197,Jump Shot,2,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 DEN,0,679
198,Jump Shot,2,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 DEN,0,411
199,Jump Shot,2,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 DEN,0,371
200,Jump Shot,2,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 DEN,0,21
201,Jump Shot,3,29,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 DEN,0,677
203,Jump Shot,3,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 DEN,0,515
204,Jump Shot,3,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-01 DEN,0,384
205,Jump Shot,3,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 DEN,0,301
206,Jump Shot,3,23,1.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2000-01 DEN,0,201
207,Jump Shot,3,22,1.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,2000-01 DEN,0,47
208,Layup,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,0,670
209,Dunk,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 DEN,0,430
212,Jump Shot,4,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 DEN,0,78
213,Jump Shot,4,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 DEN,0,46
214,Jump Shot,1,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 CHI,1,543
215,Jump Shot,1,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 CHI,1,370
216,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,190
217,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,13
218,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,444
219,Jump Shot,2,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 CHI,1,363
220,Jump Shot,2,23,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 CHI,1,44
221,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,684
222,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,619
223,Jump Shot,3,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 CHI,1,585
224,Jump Shot,3,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 CHI,1,442
225,Jump Shot,3,12,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 CHI,1,403
226,Jump Shot,3,11,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-01 CHI,1,295
227,Layup,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,94
229,Jump Shot,4,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 CHI,1,673
230,Jump Shot,4,22,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 CHI,1,652
231,Layup,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,612
232,Layup,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 CHI,1,608
233,Jump Shot,4,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 CHI,1,140
234,Jump Shot,4,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 CHI,1,97
235,Jump Shot,4,21,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2000-01 CHI,1,31
236,Jump Shot,1,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 GSW,1,605
237,Jump Shot,1,18,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 GSW,1,480
238,Jump Shot,1,25,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2000-01 GSW,1,298
239,Layup,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,156
240,Layup,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,140
241,Dunk,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,128
242,Jump Shot,1,26,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 GSW,1,103
243,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,617
244,Jump Shot,2,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 GSW,1,556
245,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,214
246,Jump Shot,2,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 GSW,1,150
247,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,592
248,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,552
249,Jump Shot,3,26,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 GSW,1,391
250,Dunk,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,369
251,Jump Shot,3,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2000-01 GSW,1,320
252,Layup,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,126
253,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,120
254,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 GSW,1,86
255,Jump Shot,1,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 MIN,1,633
256,Jump Shot,1,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 MIN,1,453
258,Layup,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 MIN,1,352
259,Jump Shot,1,11,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,2000-01 MIN,1,236
261,Jump Shot,1,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 MIN,1,64
262,Jump Shot,3,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 MIN,1,653
263,Dunk,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 MIN,1,585
265,Jump Shot,3,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 MIN,1,384
266,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 MIN,1,358
268,Jump Shot,3,23,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2000-01 MIN,1,162
269,Jump Shot,3,17,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 MIN,1,21
270,Jump Shot,4,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2000-01 MIN,1,698
